date,home_team,away_team,actual,predicted,correct,tier,consensus,h_prob,d_prob,a_prob,brier,elo_home,elo_away,elo_gap
2023-08-18,Werder Bremen,Bayern Munich,away_win,away_win,True,SKIP,0,0.2906,0.2636,0.4458,0.4611,1405.4,1629.8,-224.4
2023-08-19,Augsburg,M'gladbach,draw,draw,True,SKIP,0,0.3156,0.3692,0.3152,0.5969,1413.2,1478.6,-65.4
2023-08-19,Hoffenheim,Freiburg,away_win,away_win,True,SKIP,0,0.3126,0.3336,0.3538,0.6266,1439.5,1546.8,-107.3
2023-08-19,Leverkusen,RB Leipzig,home_win,draw,False,SKIP,0,0.3146,0.3443,0.341,0.7046,1529.1,1622.2,-93.1
2023-08-19,Stuttgart,Bochum,home_win,home_win,True,HOLD,0,0.3524,0.3507,0.2969,0.6305,1448.3,1452.3,-4.0
2023-08-19,Wolfsburg,Heidenheim,home_win,home_win,True,HOLD,0,0.3657,0.3383,0.296,0.6044,1509.8,1500.0,9.8
2023-08-19,Dortmund,FC Koln,home_win,home_win,True,HOLD,0,0.4728,0.2636,0.2636,0.4169,1635.9,1484.2,151.7
2023-08-20,Union Berlin,Mainz,home_win,home_win,True,HOLD,0,0.4387,0.2636,0.2977,0.4732,1560.5,1487.2,73.3
2023-08-20,Ein Frankfurt,Darmstadt,home_win,home_win,True,HOLD,0,0.3659,0.3381,0.296,0.604,1510.0,1500.0,10.0
2023-08-25,RB Leipzig,Stuttgart,home_win,home_win,True,SNIPER,0,0.469,0.2636,0.2674,0.4229,1604.2,1462.2,142.0
2023-08-26,FC Koln,Wolfsburg,away_win,draw,False,SKIP,0,0.3153,0.3862,0.2985,0.7407,1476.5,1523.0,-46.5
2023-08-26,Darmstadt,Union Berlin,away_win,draw,False,SKIP,0,0.3151,0.3522,0.3327,0.6686,1486.7,1571.0,-84.3
2023-08-26,Bochum,Dortmund,draw,away_win,False,SKIP,0,0.2988,0.2636,0.4376,0.8231,1438.4,1643.5,-205.1
2023-08-26,M'gladbach,Leverkusen,away_win,draw,False,SKIP,0,0.3156,0.3659,0.3185,0.6979,1477.9,1547.1,-69.2
2023-08-26,Heidenheim,Hoffenheim,away_win,home_win,False,HOLD,0,0.4326,0.2636,0.3038,0.7413,1486.7,1426.1,60.6
2023-08-26,Freiburg,Werder Bremen,home_win,home_win,True,SNIPER,0,0.4773,0.2636,0.2591,0.4098,1560.2,1396.8,163.4
2023-08-27,Mainz,Ein Frankfurt,draw,draw,True,SKIP,0,0.3153,0.3861,0.2986,0.5654,1476.6,1523.3,-46.6
2023-08-27,Bayern Munich,Augsburg,home_win,home_win,True,SNIPER,0,0.4982,0.2636,0.2382,0.378,1638.4,1413.9,224.6
2023-09-01,Dortmund,Heidenheim,draw,home_win,False,SNIPER,0,0.4801,0.2636,0.2563,0.8385,1636.8,1465.8,171.0
2023-09-02,Hoffenheim,Wolfsburg,home_win,draw,False,SKIP,0,0.3147,0.3452,0.3401,0.7045,1447.1,1539.2,-92.1
2023-09-02,Leverkusen,Darmstadt,home_win,home_win,True,SNIPER,0,0.4465,0.2636,0.2899,0.4599,1562.2,1472.3,89.9
2023-09-02,Augsburg,Bochum,draw,draw,True,SKIP,0,0.3225,0.3801,0.2974,0.5767,1408.4,1445.1,-36.7
2023-09-02,Werder Bremen,Mainz,home_win,draw,False,SKIP,0,0.315,0.3499,0.3351,0.7039,1389.6,1476.5,-86.9
2023-09-02,M'gladbach,Bayern Munich,away_win,away_win,True,SKIP,0,0.3094,0.2636,0.427,0.4935,1462.8,1643.9,-181.1
2023-09-02,Stuttgart,Freiburg,home_win,away_win,False,SKIP,0,0.3099,0.3336,0.3565,0.7146,1454.2,1567.5,-113.3
2023-09-03,Ein Frankfurt,FC Koln,draw,home_win,False,HOLD,0,0.4339,0.2636,0.3025,0.8221,1523.4,1460.4,63.1
2023-09-03,Union Berlin,RB Leipzig,away_win,draw,False,SKIP,0,0.3313,0.3711,0.2976,0.7408,1585.5,1612.2,-26.7
2023-09-15,Bayern Munich,Leverkusen,draw,home_win,False,SNIPER,0,0.4429,0.2636,0.2935,0.8246,1654.1,1572.1,82.1
2023-09-16,Mainz,Stuttgart,away_win,draw,False,SKIP,0,0.3427,0.36,0.2973,0.7408,1458.8,1473.1,-14.3
2023-09-16,FC Koln,Hoffenheim,away_win,home_win,False,HOLD,0,0.3566,0.3467,0.2967,0.742,1465.4,1465.0,0.4
2023-09-16,Freiburg,Dortmund,away_win,draw,False,SKIP,0,0.3153,0.3568,0.3278,0.6786,1548.6,1627.8,-79.2
2023-09-16,Wolfsburg,Union Berlin,home_win,draw,False,SKIP,0,0.3153,0.3857,0.299,0.707,1521.3,1568.4,-47.1
2023-09-16,Bochum,Ein Frankfurt,draw,draw,True,SKIP,0,0.3155,0.3627,0.3218,0.6092,1445.7,1518.4,-72.7
2023-09-16,RB Leipzig,Augsburg,home_win,home_win,True,SNIPER,0,0.4973,0.2636,0.2391,0.3794,1629.2,1407.8,221.4
2023-09-17,Heidenheim,Werder Bremen,home_win,home_win,True,HOLD,0,0.436,0.2636,0.3004,0.4778,1474.8,1407.3,67.5
2023-09-17,Darmstadt,M'gladbach,draw,home_win,False,HOLD,0,0.3658,0.3382,0.296,0.6594,1462.4,1452.6,9.9
2023-09-22,Stuttgart,Darmstadt,home_win,home_win,True,HOLD,0,0.3782,0.3336,0.2882,0.581,1490.7,1459.7,31.0
2023-09-23,Bayern Munich,Bochum,home_win,home_win,True,SNIPER,0,0.4909,0.2636,0.2455,0.3889,1648.3,1446.7,201.6
2023-09-23,Dortmund,Wolfsburg,home_win,home_win,True,SNIPER,0,0.4534,0.2636,0.283,0.4483,1642.5,1537.1,105.3
2023-09-23,Augsburg,Mainz,home_win,draw,False,SKIP,0,0.3205,0.3821,0.2974,0.6962,1402.3,1441.2,-38.9
2023-09-23,Union Berlin,Hoffenheim,away_win,home_win,False,HOLD,0,0.4368,0.2636,0.2996,0.7508,1552.5,1483.3,69.2
2023-09-23,Werder Bremen,FC Koln,home_win,draw,False,SKIP,0,0.3154,0.3825,0.302,0.7062,1396.5,1447.1,-50.6
2023-09-23,M'gladbach,RB Leipzig,away_win,away_win,True,SKIP,0,0.3102,0.2636,0.4262,0.495,1455.3,1634.8,-179.5
2023-09-24,Leverkusen,Heidenheim,home_win,home_win,True,SNIPER,0,0.4476,0.2636,0.2888,0.458,1577.9,1485.6,92.3
2023-09-24,Ein Frankfurt,Freiburg,draw,draw,True,SKIP,0,0.3406,0.362,0.2974,0.6115,1517.4,1533.9,-16.6
2023-09-29,Hoffenheim,Dortmund,away_win,away_win,True,SKIP,0,0.2946,0.3336,0.3718,0.5927,1504.6,1651.7,-147.1
