date,home,away,actual,predicted,correct,tier,h_prob,d_prob,a_prob,brier,elo_gap
2023-08-18,Werder Bremen,Bayern Munich,away_win,away_win,True,SNIPER,0.1604,0.1938,0.6458,0.1888,-224.4
2023-08-19,Augsburg,M'gladbach,draw,home_win,False,SKIP,0.3731,0.2815,0.3454,0.7747,-65.4
2023-08-19,Hoffenheim,Freiburg,away_win,home_win,False,SKIP,0.357,0.2993,0.3437,0.6478,-107.3
2023-08-19,Leverkusen,RB Leipzig,home_win,home_win,True,SKIP,0.3754,0.2817,0.3429,0.5871,-93.1
2023-08-19,Stuttgart,Bochum,home_win,home_win,True,HOLD,0.582,0.2417,0.1762,0.2642,-4.0
2023-08-19,Dortmund,FC Koln,home_win,home_win,True,SNIPER,0.7499,0.1571,0.093,0.0959,151.7
2023-08-20,Union Berlin,Mainz,home_win,home_win,True,SNIPER,0.5562,0.2656,0.1782,0.2992,73.3
2023-08-25,RB Leipzig,Stuttgart,home_win,home_win,True,SNIPER,0.688,0.2035,0.1085,0.1506,142.0
2023-08-26,FC Koln,Wolfsburg,away_win,home_win,False,SKIP,0.3848,0.2779,0.3373,0.6644,-33.2
2023-08-26,Bochum,Dortmund,draw,away_win,False,SNIPER,0.1364,0.1875,0.6761,1.1358,-205.1
2023-08-26,M'gladbach,Leverkusen,away_win,home_win,False,SKIP,0.4139,0.2697,0.3164,0.7113,-69.2
2023-08-26,Freiburg,Werder Bremen,home_win,home_win,True,SNIPER,0.6003,0.2355,0.1642,0.2422,163.4
2023-08-27,Mainz,Ein Frankfurt,draw,home_win,False,SKIP,0.4498,0.2593,0.2909,0.8355,-33.4
2023-08-27,Bayern Munich,Augsburg,home_win,home_win,True,SNIPER,0.8626,0.0985,0.0388,0.0301,224.6
2023-09-02,Hoffenheim,Wolfsburg,home_win,away_win,False,SKIP,0.3575,0.28,0.3625,0.6226,-100.4
2023-09-02,Augsburg,Bochum,draw,home_win,False,HOLD,0.5368,0.2564,0.2068,0.8839,-36.7
2023-09-02,Werder Bremen,Mainz,home_win,home_win,True,SKIP,0.4191,0.2567,0.3242,0.5084,-86.3
2023-09-02,M'gladbach,Bayern Munich,away_win,away_win,True,SNIPER,0.2007,0.2216,0.5777,0.2678,-181.1
2023-09-02,Stuttgart,Freiburg,home_win,away_win,False,SKIP,0.3368,0.3042,0.359,0.6612,-113.3
2023-09-03,Ein Frankfurt,FC Koln,draw,home_win,False,HOLD,0.5543,0.2425,0.2033,0.9224,51.0
2023-09-03,Union Berlin,RB Leipzig,away_win,home_win,False,SKIP,0.4044,0.3117,0.2839,0.7736,-41.1
2023-09-15,Bayern Munich,Leverkusen,draw,home_win,False,SNIPER,0.7437,0.1601,0.0962,1.2678,91.9
2023-09-16,Mainz,Stuttgart,away_win,home_win,False,HOLD,0.5555,0.2482,0.1963,1.0161,-14.9
2023-09-16,FC Koln,Hoffenheim,away_win,home_win,False,HOLD,0.5035,0.2634,0.233,0.9112,19.8
2023-09-16,Freiburg,Dortmund,away_win,away_win,True,SKIP,0.3219,0.2709,0.4072,0.5284,-88.2
2023-09-16,Wolfsburg,Union Berlin,home_win,home_win,True,SKIP,0.4142,0.3047,0.2811,0.515,-46.4
2023-09-16,Bochum,Ein Frankfurt,draw,away_win,False,SKIP,0.2699,0.2585,0.4716,0.8451,-60.6
2023-09-16,RB Leipzig,Augsburg,home_win,home_win,True,SNIPER,0.7256,0.1852,0.0892,0.1176,220.8
2023-09-23,Bayern Munich,Bochum,home_win,home_win,True,SNIPER,0.908,0.0677,0.0243,0.0136,201.8
2023-09-23,Dortmund,Wolfsburg,home_win,home_win,True,SNIPER,0.6622,0.1942,0.1436,0.1725,127.0
2023-09-23,Augsburg,Mainz,home_win,away_win,False,SKIP,0.3569,0.2805,0.3626,0.6237,-38.4
