date,home_team,away_team,actual,predicted,correct,tier,consensus,h_prob,d_prob,a_prob,train_season,test_season
2023-08-11,Burnley,Man City,away_win,away_win,True,SKIP,2,0.3334,0.228,0.4386,2022/23,2023/24
2023-08-12,Sheffield United,Crystal Palace,away_win,home_win,False,HOLD,3,0.4431,0.228,0.3289,2022/23,2023/24
2023-08-12,Arsenal,Nott'm Forest,home_win,home_win,True,SNIPER,3,0.7424,0.1432,0.1144,2022/23,2023/24
2023-08-12,Bournemouth,West Ham,draw,away_win,False,SKIP,2,0.3134,0.3182,0.3684,2022/23,2023/24
2023-08-12,Brighton,Luton,home_win,home_win,True,HOLD,3,0.4504,0.228,0.3216,2022/23,2023/24
2023-08-12,Everton,Fulham,away_win,away_win,True,SKIP,2,0.3181,0.2554,0.4265,2022/23,2023/24
2023-08-12,Newcastle,Aston Villa,home_win,home_win,True,HOLD,3,0.5223,0.2207,0.257,2022/23,2023/24
2023-08-13,Chelsea,Liverpool,draw,away_win,False,SNIPER,3,0.2515,0.2158,0.5328,2022/23,2023/24
2023-08-13,Brentford,Tottenham,draw,home_win,False,HOLD,3,0.5225,0.1986,0.279,2022/23,2023/24
2023-08-14,Man United,Wolves,home_win,home_win,True,SNIPER,3,0.6363,0.2055,0.1582,2022/23,2023/24
2023-08-18,Nott'm Forest,Sheffield United,home_win,draw,False,SKIP,1,0.339,0.345,0.316,2022/23,2023/24
2023-08-19,Fulham,Brentford,away_win,away_win,True,HOLD,3,0.3073,0.3267,0.366,2022/23,2023/24
2023-08-19,Liverpool,Bournemouth,home_win,home_win,True,SNIPER,3,0.7191,0.1562,0.1248,2022/23,2023/24
2023-08-19,Wolves,Brighton,away_win,away_win,True,HOLD,3,0.2522,0.2266,0.5213,2022/23,2023/24
2023-08-19,Tottenham,Man United,home_win,away_win,False,HOLD,3,0.3121,0.2925,0.3954,2022/23,2023/24
2023-08-19,Man City,Newcastle,home_win,home_win,True,HOLD,3,0.5336,0.2152,0.2512,2022/23,2023/24
2023-08-20,Aston Villa,Everton,home_win,home_win,True,HOLD,3,0.5904,0.2188,0.1909,2022/23,2023/24
2023-08-20,West Ham,Chelsea,home_win,home_win,True,HOLD,3,0.4282,0.2452,0.3266,2022/23,2023/24
2023-08-21,Crystal Palace,Arsenal,away_win,away_win,True,SNIPER,3,0.2402,0.2003,0.5596,2022/23,2023/24
2023-08-25,Chelsea,Luton,home_win,draw,False,SKIP,1,0.3323,0.3501,0.3176,2022/23,2023/24
2023-08-26,Bournemouth,Tottenham,away_win,away_win,True,HOLD,3,0.2742,0.2193,0.5064,2022/23,2023/24
2023-08-26,Arsenal,Fulham,draw,home_win,False,SNIPER,3,0.6387,0.1787,0.1826,2022/23,2023/24
2023-08-26,Brentford,Crystal Palace,draw,home_win,False,SNIPER,3,0.5387,0.2283,0.233,2022/23,2023/24
2023-08-26,Everton,Wolves,away_win,home_win,False,HOLD,3,0.4257,0.2531,0.3212,2022/23,2023/24
2023-08-26,Man United,Nott'm Forest,home_win,home_win,True,SNIPER,3,0.6502,0.1907,0.1591,2022/23,2023/24
2023-08-26,Brighton,West Ham,away_win,home_win,False,SNIPER,3,0.5933,0.1901,0.2167,2022/23,2023/24
2023-08-27,Newcastle,Liverpool,away_win,home_win,False,HOLD,3,0.4864,0.211,0.3026,2022/23,2023/24
2023-08-27,Burnley,Aston Villa,away_win,draw,False,SKIP,1,0.3326,0.341,0.3265,2022/23,2023/24
2023-08-27,Sheffield United,Man City,away_win,away_win,True,SKIP,2,0.3334,0.228,0.4386,2022/23,2023/24
2023-09-01,Luton,West Ham,away_win,home_win,False,HOLD,3,0.4562,0.228,0.3158,2022/23,2023/24
2023-09-02,Sheffield United,Everton,draw,home_win,False,HOLD,3,0.4581,0.228,0.3139,2022/23,2023/24
2023-09-02,Brentford,Bournemouth,draw,home_win,False,SNIPER,3,0.6547,0.1869,0.1584,2022/23,2023/24
2023-09-02,Burnley,Tottenham,away_win,home_win,False,HOLD,3,0.3866,0.2993,0.3142,2022/23,2023/24
2023-09-02,Chelsea,Nott'm Forest,away_win,home_win,False,HOLD,3,0.4597,0.2395,0.3008,2022/23,2023/24
2023-09-02,Man City,Fulham,home_win,home_win,True,SNIPER,3,0.7069,0.1659,0.1272,2022/23,2023/24
2023-09-02,Brighton,Newcastle,home_win,away_win,False,SKIP,2,0.292,0.3285,0.3795,2022/23,2023/24
2023-09-03,Crystal Palace,Wolves,home_win,home_win,True,HOLD,3,0.4872,0.2453,0.2676,2022/23,2023/24
2023-09-03,Liverpool,Aston Villa,home_win,home_win,True,HOLD,3,0.5023,0.2088,0.2889,2022/23,2023/24
2023-09-03,Arsenal,Man United,home_win,home_win,True,HOLD,3,0.519,0.1998,0.2811,2022/23,2023/24
2023-09-16,Tottenham,Sheffield United,home_win,home_win,True,HOLD,3,0.3933,0.298,0.3087,2022/23,2023/24
2023-09-16,West Ham,Man City,away_win,away_win,True,SNIPER,3,0.1588,0.1758,0.6654,2022/23,2023/24
2023-09-16,Man United,Brighton,away_win,home_win,False,HOLD,3,0.4846,0.2097,0.3057,2022/23,2023/24
2023-09-16,Newcastle,Brentford,home_win,home_win,True,HOLD,3,0.516,0.2209,0.2631,2022/23,2023/24
2023-09-16,Aston Villa,Crystal Palace,home_win,home_win,True,SNIPER,3,0.5239,0.2365,0.2396,2022/23,2023/24
2023-09-16,Wolves,Liverpool,away_win,away_win,True,HOLD,3,0.2209,0.1938,0.5853,2022/23,2023/24
2023-09-16,Fulham,Luton,home_win,home_win,True,HOLD,3,0.3738,0.311,0.3152,2022/23,2023/24
2023-09-17,Everton,Arsenal,away_win,away_win,True,SNIPER,3,0.192,0.1795,0.6285,2022/23,2023/24
2023-09-17,Bournemouth,Chelsea,draw,away_win,False,SKIP,2,0.3194,0.3242,0.3564,2022/23,2023/24
2023-09-18,Nott'm Forest,Burnley,draw,draw,True,SKIP,1,0.339,0.345,0.316,2022/23,2023/24
2023-09-23,Crystal Palace,Fulham,draw,home_win,False,SKIP,2,0.3563,0.306,0.3377,2022/23,2023/24
2023-09-23,Luton,Wolves,draw,home_win,False,HOLD,3,0.4548,0.228,0.3172,2022/23,2023/24
2023-09-23,Man City,Nott'm Forest,home_win,home_win,True,SNIPER,3,0.7903,0.1301,0.0796,2022/23,2023/24
2023-09-23,Brentford,Everton,away_win,home_win,False,HOLD,3,0.6068,0.2086,0.1846,2022/23,2023/24
2023-09-23,Burnley,Man United,away_win,away_win,True,SKIP,2,0.3316,0.3096,0.3588,2022/23,2023/24
2023-09-24,Arsenal,Tottenham,draw,home_win,False,SNIPER,3,0.6507,0.1633,0.1861,2022/23,2023/24
2023-09-24,Brighton,Bournemouth,home_win,home_win,True,SNIPER,3,0.6793,0.1635,0.1572,2022/23,2023/24
2023-09-24,Chelsea,Aston Villa,away_win,away_win,True,HOLD,3,0.2899,0.2473,0.4629,2022/23,2023/24
2023-09-24,Liverpool,West Ham,home_win,home_win,True,SNIPER,3,0.6396,0.1846,0.1759,2022/23,2023/24
2023-09-24,Sheffield United,Newcastle,away_win,away_win,True,SKIP,2,0.3322,0.3197,0.3481,2022/23,2023/24
2023-09-30,Tottenham,Liverpool,home_win,away_win,False,HOLD,3,0.3222,0.2231,0.4548,2022/23,2023/24
2023-09-30,West Ham,Sheffield United,home_win,draw,False,SKIP,1,0.3413,0.3427,0.3161,2022/23,2023/24
2023-09-30,Newcastle,Burnley,home_win,home_win,True,SNIPER,3,0.4771,0.228,0.2949,2022/23,2023/24
2023-09-30,Wolves,Man City,home_win,away_win,False,HOLD,3,0.1391,0.1644,0.6964,2022/23,2023/24
